order,path,name
1,D:\welinking\29-实验范式设计\9-看图命名\pics\changjinglu.png,长颈鹿
2,D:\welinking\29-实验范式设计\9-看图命名\pics\daxiang.png,大象
3,D:\welinking\29-实验范式设计\9-看图命名\pics\gouzi.png,狗
4,D:\welinking\29-实验范式设计\9-看图命名\pics\huli.png,狐狸
5,D:\welinking\29-实验范式设计\9-看图命名\pics\maomi.png,猫
7,D:\welinking\29-实验范式设计\9-看图命名\pics\pangxie.png,螃蟹
8,D:\welinking\29-实验范式设计\9-看图命名\pics\shanyang.png,山羊
9,D:\welinking\29-实验范式设计\9-看图命名\pics\tuzi.png,兔子
10,D:\welinking\29-实验范式设计\9-看图命名\pics\xiongmao.png,熊猫
11,D:\welinking\29-实验范式设计\9-看图命名\pics\zhuzhu.png,猪
12,D:\welinking\29-实验范式设计\9-看图命名\pics\shizi.png,狮子
